Period 1: max_weight: 1.0
Period 2: max_weight: 1.0
Period 3: max_weight: 1.0
Period 4: max_weight: 1.0
Period 5: max_weight: 1.0
Period 6: max_weight: 1.0
Period 7: max_weight: 1.0
Period 8: max_weight: 1.0
Period 9: max_weight: 1.0
Period 10: max_weight: 1.0
Period 11: max_weight: 1.0
Period 12: max_weight: 1.0
Period 13: max_weight: 1.0
Period 14: max_weight: 1.0
Period 15: max_weight: 1.0
Period 16: max_weight: 1.0
Period 17: max_weight: 1.0
Period 18: max_weight: 1.0
Period 19: max_weight: 1.0
Period 20: max_weight: 1.0
20160229 - 20160331: sharpe: nan
20160331 - 20160430: sharpe: nan
20160531 - 20160630: sharpe: nan
20160630 - 20160731: sharpe: nan
20160831 - 20160930: sharpe: nan
20160930 - 20161031: sharpe: nan
20161130 - 20161231: sharpe: nan
20161231 - 20170131: sharpe: nan
20170228 - 20170331: sharpe: nan
20170331 - 20170430: sharpe: nan
20170531 - 20170630: sharpe: nan
20170630 - 20170731: sharpe: nan
