Period 0: 2016-08-14 2017-01-06 2017-01-07 2017-01-13
Period 1: 2016-08-21 2017-01-13 2017-01-14 2017-01-20
Period 2: 2016-08-28 2017-01-20 2017-01-21 2017-01-27
Period 3: 2016-09-04 2017-01-27 2017-01-28 2017-02-03
Period 4: 2016-09-11 2017-02-03 2017-02-04 2017-02-10
Period 5: 2016-09-18 2017-02-10 2017-02-11 2017-02-17
Period 6: 2016-09-25 2017-02-17 2017-02-18 2017-02-24
Period 7: 2016-10-02 2017-02-24 2017-02-25 2017-03-03
Period 8: 2016-10-09 2017-03-03 2017-03-04 2017-03-10
Period 9: 2016-10-16 2017-03-10 2017-03-11 2017-03-17
Period 10: 2016-10-23 2017-03-17 2017-03-18 2017-03-24
Period 11: 2016-10-30 2017-03-24 2017-03-25 2017-03-31
Period 12: 2016-11-06 2017-03-31 2017-04-01 2017-04-07
Period 13: 2016-11-13 2017-04-07 2017-04-08 2017-04-14
Period 14: 2016-11-20 2017-04-14 2017-04-15 2017-04-21
Period 15: 2016-11-27 2017-04-21 2017-04-22 2017-04-28
Period 16: 2016-12-04 2017-04-28 2017-04-29 2017-05-05
Period 17: 2016-12-11 2017-05-05 2017-05-06 2017-05-12
Period 18: 2016-12-18 2017-05-12 2017-05-13 2017-05-19
Period 19: 2016-12-25 2017-05-19 2017-05-20 2017-05-26
Period 20: 2017-01-01 2017-05-26 2017-05-27 2017-06-02
Period 21: 2017-01-08 2017-06-02 2017-06-03 2017-06-09
Period 22: 2017-01-15 2017-06-09 2017-06-10 2017-06-16
Period 23: 2017-01-22 2017-06-16 2017-06-17 2017-06-23
Period 24: 2017-01-29 2017-06-23 2017-06-24 2017-06-30
Period 25: 2017-02-05 2017-06-30 2017-07-01 2017-07-07
Period 26: 2017-02-12 2017-07-07 2017-07-08 2017-07-14
Period 27: 2017-02-19 2017-07-14 2017-07-15 2017-07-21
Period 28: 2017-02-26 2017-07-21 2017-07-22 2017-07-28
Period 29: 2017-03-05 2017-07-28 2017-07-29 2017-08-04
Period 30: 2017-03-12 2017-08-04 2017-08-05 2017-08-11
Period 31: 2017-03-19 2017-08-11 2017-08-12 2017-08-18
Period 32: 2017-03-26 2017-08-18 2017-08-19 2017-08-25
Period 33: 2017-04-02 2017-08-25 2017-08-26 2017-09-01
Period 34: 2017-04-09 2017-09-01 2017-09-02 2017-09-08
Period 35: 2017-04-16 2017-09-08 2017-09-09 2017-09-15
Period 36: 2017-04-23 2017-09-15 2017-09-16 2017-09-22
Period 37: 2017-04-30 2017-09-22 2017-09-23 2017-09-29
Period 38: 2017-05-07 2017-09-29 2017-09-30 2017-10-06
Period 39: 2017-05-14 2017-10-06 2017-10-07 2017-10-13
Period 40: 2017-05-21 2017-10-13 2017-10-14 2017-10-20
Period 41: 2017-05-28 2017-10-20 2017-10-21 2017-10-27
Period 42: 2017-06-04 2017-10-27 2017-10-28 2017-11-03
Period 43: 2017-06-11 2017-11-03 2017-11-04 2017-11-10
Period 44: 2017-06-18 2017-11-10 2017-11-11 2017-11-17
Period 45: 2017-06-25 2017-11-17 2017-11-18 2017-11-24
Period 46: 2017-07-02 2017-11-24 2017-11-25 2017-12-01
Period 47: 2017-07-09 2017-12-01 2017-12-02 2017-12-08
Period 48: 2017-07-16 2017-12-08 2017-12-09 2017-12-15
Period 49: 2017-07-23 2017-12-15 2017-12-16 2017-12-22
Period 50: 2017-07-30 2017-12-22 2017-12-23 2017-12-29
Period 51: 2017-08-06 2017-12-29 2017-12-30 2018-01-05
Period 52: 2017-08-13 2018-01-05 2018-01-06 2018-01-12
Period 53: 2017-08-20 2018-01-12 2018-01-13 2018-01-19
Period 54: 2017-08-27 2018-01-19 2018-01-20 2018-01-26
Period 55: 2017-09-03 2018-01-26 2018-01-27 2018-02-02
