ROOT,PRODUCT_SIZE,CURRENCY,COMMISSION_USD,TICK_SIZE,QUATERLY_EXP,NUM_EXP,TRADING_START,TRADING_END,KO_EXCHANGE,EXTERNAL_EXCHANGE,DESC,TYPE,RIC,LATENCY_NY4,LATENCY_TELCITY,WQ_EXCHANGE_CODE,SUBMIT_LATENCY,AMEND_LATENCY
Z,10,GBP,0.38,0.5,1,2,090000,185900,XLIF,LIFFE,FTSE Future,FUTURE,FFI,55000,5000,3030,500,500
GE,2500,USD,0.20,0.005,1,16,020000,220000,XCME,CME_FUT,Eurodollar Future,FUTURE,ED,8000,58000,200,500,500
SR3,2500,USD,0.20,0.005,1,16,020000,220000,XCME,CME_FUT,SOFR Future,FUTURE,SR3,8000,58000,200,500,500
NQ,20,USD,0.41,0.25,1,2,020000,220000,XCME,CME_FUT,NASDAQ Mini Future,FUTURE,NQ,8000,58000,200,500,500
YM,5,USD,0.32,1,1,2,020000,220000,XCME,CME_FUT,Dow Jones Mini Future,FUTURE,YM,8000,58000,1010,500,500
6E,125000,USD,0.38,0.00005,1,2,020000,220000,XCME,CME_FUT,EURUSD Future,FUTURE,URO,8000,58000,1220,500,500
6B,62500,USD,0.38,0.0001,1,2,020000,220000,XCME,CME_FUT,GBPUSD Future,FUTURE,BP,8000,58000,1220,500,500
6A,100000,USD,0.38,0.0001,1,2,020000,220000,XCME,CME_FUT,AUDUSD Future,FUTURE,AD,8000,58000,1220,500,500
6J,12500000,USD,0.38,0.0000005,1,2,020000,220000,XCME,CME_FUT,JPYUSD Future,FUTURE,JY,8000,58000,1220,500,500
6C,100000,USD,0.38,0.00005,1,2,020000,220000,XCME,CME_FUT,CADUSD Future,FUTURE,CD,8000,58000,1220,500,500
6S,125000,USD,0.38,0.0001,1,2,020000,220000,XCME,CME_FUT,CHFUSD Future,FUTURE,SF,8000,58000,1220,500,500
6N,125000,USD,0.38,0.0001,1,2,020000,220000,XCME,CME_FUT,NZDUSD Future,FUTURE,NE,8000,58000,1220,500,500
ES,50,USD,0.41,0.25,1,2,020000,220000,XCME,CME_FUT,S&P500 Mini Future,FUTURE,ES,8000,58000,200,500,500
RTY,50,USD,0.41,0.1,1,2,020000,220000,XCME,CME_FUT,Russell Mini Future,FUTURE,ES,8000,58000,200,500,500
NIY,500,JPY,98,5,1,2,020000,220000,XCME,CME_FUT,Nikkei Yen Future,FUTURE,NIY,8000,58000,1015,500,500
BAX,2500,CAD,1.11,0.005,1,8,120000,223000,XTMX,TMX,Canadian Interest Rate Future,FUTURE,BAX,17000,38000,4100,27000,22000
