6A;10
6B;20
6C;10
6E;20
6J;10
ES;20
GE;20
NIY;10
NQ;20
ZB;20
ZF;20
ZN;20
ZT;20
UB;20
YM;10
EMD;10
Z;10
L;20
I;20
R;20
FBTP;10
FBTS;10
FDAX;5
FESB;5
FESX;20
FGBL;20
FGBM;20
FGBS;20
FGBX;10
FOAT;10
FCE;10
CGF;10
CGB;10
BAX;10
SXF;10
FTI;10
XT;10
YT;10
IR;10
AP;10
TF;10
DX;10
Nikkei_Mini;10
JGB;10
Topix;10
HSI;10
MHI;10
HHI;10
MCH;10
SGX_MSCI_Singapore;10
SGX_MSCI_Taiwan;10
SGX_FTSE_China_A50;10
SGX_Mini_Nikkei_225;10
SGX_Nifty_50;10
TX;10
KOSPI;20
KTB3;10
KTB10;10
USDKRW_Fut;10
