XCME,ZB,20,500,1000
XCME,ZN,20,1000,2000
XCME,ZF,20,1000,2000
XCME,ZT,20,1000,2000
XEUR,FGBX,10,100,200
XEUR,FGBL,10,500,2000
XEUR,FGBM,10,500,1000
XEUR,FGBS,10,500,1000
XEUR,FOAT,10,100,500
XEUR,FBTP,10,100,250
XLIF,R,10,300,1000
XLIF,I,10,200,1000
XLIF,L,10,200,1000
XEUR,FESX,10,200,500
XEUR,FDAX,5,50,100
XLIF,Z,10,100,250
XCME,GE,10,200,1000
XCME,EMD,10,120,250
XCME,NQ,10,200,500
XCME,YM,10,100,500
XCME,6E,10,100,1000
XCME,6B,10,100,800
XCME,6A,10,100,250
XCME,6J,10,100,400
XCME,6C,10,50,400
XCME,6S,10,50,200
XCME,6N,10,50,100
XCME,6M,10,50,100
XCME,ES,20,200,2000
XCME,RTY,10,200,500
XCME,NIY,10,50,150
XTMX,BAX,10,120,250
XTMX,CGB,10,100,500
XTMX,SXF,5,100,250
XCME,NKD,10,120,250
XCME,CL,10,120,250
XCME,RB,10,120,250
XCME,HO,10,120,250
XCME,NG,10,120,250
XCME,BZ,10,120,250
XCME,HG,10,120,250
XCME,PL,10,120,250
XCME,GC,10,120,250
XCME,SI,10,120,250
CFX,EURGBP,1000000,5000000,40000000
CFX,AUDJPY,1000000,5000000,10000000
CFX,AUDUSD,1000000,5000000,10000000
CFX,EURJPY,1000000,5000000,10000000
CFX,EURNOK,1000000,5000000,10000000
CFX,USDJPY,1000000,5000000,10000000
CFX,USDNOK,1000000,5000000,10000000
CFX,USDPLN,1000000,5000000,10000000
CFX,USDSEK,1000000,5000000,10000000
CFX,EURUSD,1000000,5000000,40000000
CFX,GBPUSD,1000000,5000000,40000000
CFX,NZDUSD,1000000,5000000,10000000
CFX,USDCAD,1000000,5000000,10000000
CFX,USDCHF,1000000,5000000,10000000
CFX,USDZAR,1000000,5000000,10000000
CFX,EURAUD,1000000,5000000,10000000
CFX,EURCAD,1000000,5000000,10000000
CFX,GBPCAD,1000000,5000000,10000000
CFX,EURCHF,1000000,5000000,10000000
CFX,GBPJPY,1000000,5000000,10000000
