20041213,BAXZ4,BAXH5,BAXM5,BAXU5,BAXZ5,BAXH6,BAXM6,BAXU6
20050314,BAXH5,BAXM5,BAXU5,BAXZ5,BAXH6,BAXM6,BAXU6,BAXZ6
20050613,BAXM5,BAXU5,BAXZ5,BAXH6,BAXM6,BAXU6,BAXZ6,BAXH7
20050919,BAXU5,BAXZ5,BAXH6,BAXM6,BAXU6,BAXZ6,BAXH7,BAXM7
20051219,BAXZ5,BAXH6,BAXM6,BAXU6,BAXZ6,BAXH7,BAXM7,BAXU7
20060313,BAXH6,BAXM6,BAXU6,BAXZ6,BAXH7,BAXM7,BAXU7,BAXZ7
20060619,BAXM6,BAXU6,BAXZ6,BAXH7,BAXM7,BAXU7,BAXZ7,BAXH8
20060918,BAXU6,BAXZ6,BAXH7,BAXM7,BAXU7,BAXZ7,BAXH8,BAXM8
20061218,BAXZ6,BAXH7,BAXM7,BAXU7,BAXZ7,BAXH8,BAXM8,BAXU8
20070319,BAXH7,BAXM7,BAXU7,BAXZ7,BAXH8,BAXM8,BAXU8,BAXZ8
20070618,BAXM7,BAXU7,BAXZ7,BAXH8,BAXM8,BAXU8,BAXZ8,BAXH9
20070917,BAXU7,BAXZ7,BAXH8,BAXM8,BAXU8,BAXZ8,BAXH9,BAXM9
20071217,BAXZ7,BAXH8,BAXM8,BAXU8,BAXZ8,BAXH9,BAXM9,BAXU9
20080317,BAXH8,BAXM8,BAXU8,BAXZ8,BAXH9,BAXM9,BAXU9,BAXZ9
20080616,BAXM8,BAXU8,BAXZ8,BAXH9,BAXM9,BAXU9,BAXZ9,BAXH0
20080915,BAXU8,BAXZ8,BAXH9,BAXM9,BAXU9,BAXZ9,BAXH0,BAXM0
20081215,BAXZ8,BAXH9,BAXM9,BAXU9,BAXZ9,BAXH0,BAXM0,BAXU0
20090316,BAXH9,BAXM9,BAXU9,BAXZ9,BAXH0,BAXM0,BAXU0,BAXZ0
20090615,BAXM9,BAXU9,BAXZ9,BAXH0,BAXM0,BAXU0,BAXZ0,BAXH1
20090914,BAXU9,BAXZ9,BAXH0,BAXM0,BAXU0,BAXZ0,BAXH1,BAXM1
20091214,BAXZ9,BAXH0,BAXM0,BAXU0,BAXZ0,BAXH1,BAXM1,BAXU1
20100315,BAXH0,BAXM0,BAXU0,BAXZ0,BAXH1,BAXM1,BAXU1,BAXZ1
20100614,BAXM0,BAXU0,BAXZ0,BAXH1,BAXM1,BAXU1,BAXZ1,BAXH2
20100913,BAXU0,BAXZ0,BAXH1,BAXM1,BAXU1,BAXZ1,BAXH2,BAXM2
20101213,BAXZ0,BAXH1,BAXM1,BAXU1,BAXZ1,BAXH2,BAXM2,BAXU2
20110314,BAXH1,BAXM1,BAXU1,BAXZ1,BAXH2,BAXM2,BAXU2,BAXZ2
20110613,BAXM1,BAXU1,BAXZ1,BAXH2,BAXM2,BAXU2,BAXZ2,BAXH3
20110919,BAXU1,BAXZ1,BAXH2,BAXM2,BAXU2,BAXZ2,BAXH3,BAXM3
20111219,BAXZ1,BAXH2,BAXM2,BAXU2,BAXZ2,BAXH3,BAXM3,BAXU3
20120319,BAXH2,BAXM2,BAXU2,BAXZ2,BAXH3,BAXM3,BAXU3,BAXZ3
20120618,BAXM2,BAXU2,BAXZ2,BAXH3,BAXM3,BAXU3,BAXZ3,BAXH4
20120917,BAXU2,BAXZ2,BAXH3,BAXM3,BAXU3,BAXZ3,BAXH4,BAXM4
20121217,BAXZ2,BAXH3,BAXM3,BAXU3,BAXZ3,BAXH4,BAXM4,BAXU4
20130318,BAXH3,BAXM3,BAXU3,BAXZ3,BAXH4,BAXM4,BAXU4,BAXZ4
20130617,BAXM3,BAXU3,BAXZ3,BAXH4,BAXM4,BAXU4,BAXZ4,BAXH5
20130916,BAXU3,BAXZ3,BAXH4,BAXM4,BAXU4,BAXZ4,BAXH5,BAXM5
20131216,BAXZ3,BAXH4,BAXM4,BAXU4,BAXZ4,BAXH5,BAXM5,BAXU5
20140317,BAXH4,BAXM4,BAXU4,BAXZ4,BAXH5,BAXM5,BAXU5,BAXZ5
20140616,BAXM4,BAXU4,BAXZ4,BAXH5,BAXM5,BAXU5,BAXZ5,BAXH6
