20041208,FBTPZ4,FBTPH5
20050308,FBTPH5,FBTPM5
20050608,FBTPM5,FBTPU5
20050908,FBTPU5,FBTPZ5
20051208,FBTPZ5,FBTPH6
20060308,FBTPH6,FBTPM6
20060608,FBTPM6,FBTPU6
20060907,FBTPU6,FBTPZ6
20061207,FBTPZ6,FBTPH7
20070308,FBTPH7,FBTPM7
20070607,FBTPM7,FBTPU7
20070906,FBTPU7,FBTPZ7
20071206,FBTPZ7,FBTPH8
20080306,FBTPH8,FBTPM8
20080606,FBTPM8,FBTPU8
20080908,FBTPU8,FBTPZ8
20081208,FBTPZ8,FBTPH9
20090306,FBTPH9,FBTPM9
20090608,FBTPM9,FBTPU9
20090908,FBTPU9,FBTPZ9
20091208,FBTPZ9,FBTPH0
20100308,FBTPH0,FBTPM0
20100608,FBTPM0,FBTPU0
20100908,FBTPU0,FBTPZ0
20101208,FBTPZ0,FBTPH1
20110308,FBTPH1,FBTPM1
20110608,FBTPM1,FBTPU1
20110908,FBTPU1,FBTPZ1
20111208,FBTPZ1,FBTPH2
20120308,FBTPH2,FBTPM2
20120607,FBTPM2,FBTPU2
20120906,FBTPU2,FBTPZ2
20121206,FBTPZ2,FBTPH3
20130307,FBTPH3,FBTPM3
20130606,FBTPM3,FBTPU3
20130906,FBTPU3,FBTPZ3
20131206,FBTPZ3,FBTPH4
20140306,FBTPH4,FBTPM4
20140606,FBTPM4,FBTPU4
20140908,FBTPU4,FBTPZ4
20141208,FBTPZ4,FBTPH5
20150306,FBTPH5,FBTPM5
20150608,FBTPM5,FBTPU5
20150908,FBTPU5,FBTPZ5
20151208,FBTPZ5,FBTPH6
20160308,FBTPH6,FBTPM6
20160608,FBTPM6,FBTPU6
20160908,FBTPU6,FBTPZ6
20161208,FBTPZ6,FBTPH7
20170308,FBTPH7,FBTPM7
20170608,FBTPM7,FBTPU7
20170907,FBTPU7,FBTPZ7
20171207,FBTPZ7,FBTPH8
20180308,FBTPH8,FBTPM8
20180607,FBTPM8,FBTPU8
20180906,FBTPU8,FBTPZ8
20181206,FBTPZ8,FBTPH9
20190307,FBTPH9,FBTPM9
20190606,FBTPM9,FBTPU9
20190906,FBTPU9,FBTPZ9
20191206,FBTPZ9,FBTPH0
20200306,FBTPH0,FBTPM0
20200608,FBTPM0,FBTPU0
20200908,FBTPU0,FBTPZ0
20201208,FBTPZ0,FBTPH1
20210308,FBTPH1,FBTPM1
20210608,FBTPM1,FBTPU1
20210908,FBTPU1,FBTPZ1
20211208,FBTPZ1,FBTPH2
20220308,FBTPH2,FBTPM2
20220608,FBTPM2,FBTPU2
20220908,FBTPU2,FBTPZ2
20221208,FBTPZ2,FBTPH3
20230308,FBTPH3,FBTPM3
20230608,FBTPM3,FBTPU3
20230907,FBTPU3,FBTPZ3
20231207,FBTPZ3,FBTPH4
20240307,FBTPH4,FBTPM4
20240606,FBTPM4,FBTPU4
20240906,FBTPU4,FBTPZ4
20241206,FBTPZ4,FBTPH5
20250306,FBTPH5,FBTPM5
