STRATEGY;CONFIG;FRONT;BACK;STARTTIME;ENDTIME;CORRELATION;TSTIME;TETIME
SLSL;SLSL;XEUR.FGBL.0;XLIF.R.0;090000;185900;1;090000;185900
SLSL;SLSL;XEUR.FGBM.0;XLIF.R.0;090000;185900;1;090000;185900
