Period 0: 2015-03-17 2016-01-01 2016-01-02 2016-01-08
Period 1: 2015-03-24 2016-01-08 2016-01-09 2016-01-15
Period 2: 2015-03-31 2016-01-15 2016-01-16 2016-01-22
Period 3: 2015-04-07 2016-01-22 2016-01-23 2016-01-29
Period 4: 2015-04-14 2016-01-29 2016-01-30 2016-02-05
Period 5: 2015-04-21 2016-02-05 2016-02-06 2016-02-12
Period 6: 2015-04-28 2016-02-12 2016-02-13 2016-02-19
Period 7: 2015-05-05 2016-02-19 2016-02-20 2016-02-26
Period 8: 2015-05-12 2016-02-26 2016-02-27 2016-03-04
Period 9: 2015-05-19 2016-03-04 2016-03-05 2016-03-11
Period 10: 2015-05-26 2016-03-11 2016-03-12 2016-03-18
Period 11: 2015-06-02 2016-03-18 2016-03-19 2016-03-25
Period 12: 2015-06-09 2016-03-25 2016-03-26 2016-04-01
Period 13: 2015-06-16 2016-04-01 2016-04-02 2016-04-08
Period 14: 2015-06-23 2016-04-08 2016-04-09 2016-04-15
Period 15: 2015-06-30 2016-04-15 2016-04-16 2016-04-22
Period 16: 2015-07-07 2016-04-22 2016-04-23 2016-04-29
Period 17: 2015-07-14 2016-04-29 2016-04-30 2016-05-06
Period 18: 2015-07-21 2016-05-06 2016-05-07 2016-05-13
Period 19: 2015-07-28 2016-05-13 2016-05-14 2016-05-20
Period 20: 2015-08-04 2016-05-20 2016-05-21 2016-05-27
Period 21: 2015-08-11 2016-05-27 2016-05-28 2016-06-03
Period 22: 2015-08-18 2016-06-03 2016-06-04 2016-06-10
Period 23: 2015-08-25 2016-06-10 2016-06-11 2016-06-17
Period 24: 2015-09-01 2016-06-17 2016-06-18 2016-06-24
Period 25: 2015-09-08 2016-06-24 2016-06-25 2016-07-01
Period 26: 2015-09-15 2016-07-01 2016-07-02 2016-07-08
Period 27: 2015-09-22 2016-07-08 2016-07-09 2016-07-15
Period 28: 2015-09-29 2016-07-15 2016-07-16 2016-07-22
Period 29: 2015-10-06 2016-07-22 2016-07-23 2016-07-29
Period 30: 2015-10-13 2016-07-29 2016-07-30 2016-08-05
Period 31: 2015-10-20 2016-08-05 2016-08-06 2016-08-12
Period 32: 2015-10-27 2016-08-12 2016-08-13 2016-08-19
Period 33: 2015-11-03 2016-08-19 2016-08-20 2016-08-26
Period 34: 2015-11-10 2016-08-26 2016-08-27 2016-09-02
Period 35: 2015-11-17 2016-09-02 2016-09-03 2016-09-09
Period 36: 2015-11-24 2016-09-09 2016-09-10 2016-09-16
Period 37: 2015-12-01 2016-09-16 2016-09-17 2016-09-23
Period 38: 2015-12-08 2016-09-23 2016-09-24 2016-09-30
Period 39: 2015-12-15 2016-09-30 2016-10-01 2016-10-07
Period 40: 2015-12-22 2016-10-07 2016-10-08 2016-10-14
Period 41: 2015-12-29 2016-10-14 2016-10-15 2016-10-21
Period 42: 2016-01-05 2016-10-21 2016-10-22 2016-10-28
Period 43: 2016-01-12 2016-10-28 2016-10-29 2016-11-04
Period 44: 2016-01-19 2016-11-04 2016-11-05 2016-11-11
Period 45: 2016-01-26 2016-11-11 2016-11-12 2016-11-15
