STRATEGY;CONFIG;FRONT;BACK;STARTTIME;ENDTIME
SLSL;SLSL;XEUR.FDAX.0;XCME.ES.0;080000;215900
SLSL;SLSL;XEUR.FDAX.0;XCME.NQ.0;080000;215900
SLSL;SLSL;XEUR.FDAX.0;XCME.YM.0;080000;215900
SLSL;SLSL;XEUR.FESX.0;XCME.ES.0;080000;215900
SLSL;SLSL;XEUR.FESX.0;XCME.NQ.0;080000;215900
SLSL;SLSL;XEUR.FESX.0;XCME.YM.0;080000;215900
SLSL;SLSL;XLIF.Z.0;XCME.ES.0;090000;185900
SLSL;SLSL;XLIF.Z.0;XCME.NQ.0;090000;185900
