Period 0: 2015-01-31 2016-01-31 2016-02-01 2016-02-29
Period 1: 2015-03-01 2016-02-29 2016-03-01 2016-03-31
Period 2: 2015-04-01 2016-03-31 2016-04-01 2016-04-30
Period 3: 2015-05-01 2016-04-30 2016-05-01 2016-05-31
Period 4: 2015-06-01 2016-05-31 2016-06-01 2016-06-30
Period 5: 2015-07-01 2016-06-30 2016-07-01 2016-07-31
Period 6: 2015-08-01 2016-07-31 2016-08-01 2016-08-31
Period 7: 2015-09-01 2016-08-31 2016-09-01 2016-09-30
Period 8: 2015-10-01 2016-09-30 2016-10-01 2016-10-31
Period 9: 2015-11-01 2016-10-31 2016-11-01 2016-11-30
Period 10: 2015-12-01 2016-11-30 2016-12-01 2016-12-31
Period 11: 2016-01-01 2016-12-31 2017-01-01 2017-01-31
Period 12: 2016-02-01 2017-01-31 2017-02-01 2017-02-28
Period 13: 2016-02-29 2017-02-28 2017-03-01 2017-03-31
Period 14: 2016-03-31 2017-03-31 2017-04-01 2017-04-30
Period 15: 2016-04-30 2017-04-30 2017-05-01 2017-05-31
Period 16: 2016-05-31 2017-05-31 2017-06-01 2017-06-30
Period 17: 2016-06-30 2017-06-30 2017-07-01 2017-07-31
Period 18: 2016-07-31 2017-07-31 2017-08-01 2017-08-31
Period 19: 2016-08-31 2017-08-31 2017-09-01 2017-08-21
