JPY_LaborThanksgivingDay;20201122;15:00;Labor Thanksgiving Day;Japan;JPY;0
NZD_RetailSales;20201122;21:45;Retail Sales (QoQ);New Zealand;NZD;3
AUD_S&PGlobalCompositePMI;20201122;22:00;S&P Global Composite PMI;Australia;AUD;1
AUD_S&PGlobalServicesPMI;20201122;22:00;S&P Global Services PMI;Australia;AUD;2
AUD_S&PGlobalManufacturingPMI;20201122;22:00;S&P Global Manufacturing PMI;Australia;AUD;2
