EUR_EurG7Meeting;20180609;00:00;G7 Meeting;European Monetary Union;EUR;3
CNY_ProducerPriceIndex;20180609;01:30;Producer Price Index (YoY);China;CNY;2
CNY_ConsumerPriceIndex;20180609;01:30;Consumer Price Index (YoY);China;CNY;2
