CLP_SaintPeterandSaintPaul;20210629;04:00;Saint Peter and Saint Paul ;Chile;CLP;0
DKK_IndustrialOutlook;20210629;06:00;Industrial Outlook;Denmark;DKK;1
GBP_NationwideHousingPrices;20210629;06:00;Nationwide Housing Prices s.a (MoM);United Kingdom;GBP;1
EUR_FraConsumerConfidence;20210629;06:45;Consumer Confidence;France;EUR;1
HUF_UnemploymentRate;20210629;07:00;Unemployment Rate (3M);Hungary;HUF;1
SEK_ConsumerConfidence;20210629;07:00;Consumer Confidence (MoM);Sweden;SEK;1
TRY_EconomicConfidenceIndex;20210629;07:00;Economic Confidence Index;Turkey;TRY;1
CZK_GrossDomesticProduct;20210629;07:00;Gross Domestic Product (YoY) 	;Czech Republic;CZK;1
SEK_TradeBalance;20210629;07:30;Trade Balance (MoM);Sweden;SEK;1
GBP_NetLendingtoIndividuals;20210629;08:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_ConsumerCredit;20210629;08:30;Consumer Credit;United Kingdom;GBP;1
GBP_MortgageApprovals;20210629;08:30;Mortgage Approvals;United Kingdom;GBP;1
GBP_M4MoneySupply;20210629;08:30;M4 Money Supply (YoY);United Kingdom;GBP;1
EUR_EurIndustrialConfidence;20210629;09:00;Industrial Confidence;European Monetary Union;EUR;1
EUR_EurEconomicSentimentIndicator;20210629;09:00;Economic Sentiment Indicator;European Monetary Union;EUR;1
EUR_EurBusinessClimate;20210629;09:00;Business Climate;European Monetary Union;EUR;2
EUR_EurServicesSentiment;20210629;09:00;Services Sentiment;European Monetary Union;EUR;1
EUR_EurConsumerConfidence;20210629;09:00;Consumer Confidence;European Monetary Union;EUR;2
EUR_FraILOUnemployment;20210629;10:00;ILO Unemployment;France;EUR;1
BRL_InflationIndexIGPM;20210629;10:55;Inflation Index/IGP-M;Brazil;BRL;1
EUR_GerConsumerPriceIndex;20210629;12:00;Consumer Price Index (YoY);Germany;EUR;1
EUR_GerHarmonizedIndexofConsumerPrices;20210629;12:00;Harmonized Index of Consumer Prices (YoY);Germany;EUR;3
USD_RedbookIndex;20210629;12:55;Redbook Index (YoY);United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20210629;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
USD_HousingPriceIndex;20210629;13:00;Housing Price Index (MoM);United States;USD;2
EUR_EurCentralBankSpeech;20210629;13:40;ECB President Lagarde speech;European Monetary Union;EUR;3
USD_ConsumerConfidence;20210629;14:00;Consumer Confidence;United States;USD;2
USD_APIWeeklyCrudeOilStock;20210629;20:30;API Weekly Crude Oil Stock;United States;USD;1
KRW_IndustrialOutputGrowth;20210629;23:00;Industrial Output Growth;South Korea;KRW;1
KRW_IndustrialOutput;20210629;23:00;Industrial Output (YoY);South Korea;KRW;1
KRW_ServiceSectorOutput;20210629;23:00;Service Sector Output;South Korea;KRW;1
GBP_BRCShopPriceIndex;20210629;23:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
JPY_IndustrialProduction;20210629;23:50;Industrial Production (YoY);Japan;JPY;2
