CLP_NavyDay;20170521;00:00;Navy Day ;Chile;CLP;0
KRW_ProducerPriceIndex;20170521;21:00;Producer Price Index Growth (MoM);South Korea;KRW;1
GBP_RightmoveHousePriceIndex;20170521;23:01;Rightmove House Price Index (MoM);United Kingdom;GBP;1
JPY_AdjustedMerchandiseTradeBalance;20170521;23:50;Adjusted Merchandise Trade Balance;Japan;JPY;2
JPY_Exports;20170521;23:50;Exports (YoY);Japan;JPY;2
JPY_MerchandiseTradeBalanceTotal;20170521;23:50;Merchandise Trade Balance Total;Japan;JPY;2
JPY_Imports;20170521;23:50;Imports (YoY);Japan;JPY;2
