BRL_ZumbidosPalmares;20161120;00:00;Zumbi dos Palmares ;Brazil;BRL;0
JPY_MerchandiseTradeBalanceTotal;20161120;23:50;Merchandise Trade Balance Total;Japan;JPY;2
JPY_Imports;20161120;23:50;Imports (YoY);Japan;JPY;2
JPY_Exports;20161120;23:50;Exports (YoY);Japan;JPY;2
JPY_AdjustedMerchandiseTradeBalance;20161120;23:50;Adjusted Merchandise Trade Balance;Japan;JPY;2
