AUD_AiGPerformanceofMfgIndex;20170402;23:30;AiG Performance of Mfg Index;Australia;AUD;2
JPY_TankanNonManufacturingIndex;20170402;23:50;Tankan Non - Manufacturing Index;Japan;JPY;2
JPY_TankanLargeAllIndustryCapex;20170402;23:50;Tankan Large All Industry Capex;Japan;JPY;2
JPY_TankanLargeManufacturingOutlook;20170402;23:50;Tankan Large Manufacturing Outlook;Japan;JPY;2
JPY_TankanNonManufacturingOutlook;20170402;23:50;Tankan Non - Manufacturing Outlook;Japan;JPY;2
JPY_TankanLargeManufacturingIndex;20170402;23:50;Tankan Large Manufacturing Index;Japan;JPY;2
