NZD_LabourDay;20221023;12:00;Labour Day;New Zealand;NZD;0
INR_Deewali;20221023;18:30;Deewali;India;INR;0
AUD_S&PGlobalServicesPMI;20221023;22:00;S&P Global Services PMI;Australia;AUD;2
AUD_S&PGlobalManufacturingPMI;20221023;22:00;S&P Global Manufacturing PMI;Australia;AUD;2
AUD_S&PGlobalCompositePMI;20221023;22:00;S&P Global Composite PMI;Australia;AUD;1
AUD_CentralBankSpeech;20221023;22:05;RBA Kent speech;Australia;AUD;2
