PLN_PentecostSunday;20190609;00:00;Pentecost Sunday;Poland;PLN;0
JPY_BankLending;20190609;23:50;Bank Lending (YoY);Japan;JPY;1
JPY_GrossDomesticProduct;20190609;23:50;Gross Domestic Product Deflator (YoY);Japan;JPY;1
JPY_TradeBalanceBOPBasis;20190609;23:50;Trade Balance - BOP Basis;Japan;JPY;1
JPY_CurrentAccount;20190609;23:50;Current Account n.s.a.;Japan;JPY;1
