CNY_DragonBoatFestival;20150621;00:00;Dragon Boat Festival ;China;CNY;0
NZD_WestpacConsumerSurvey;20150621;22:00;Westpac Consumer Survey;New Zealand;NZD;2
NZD_VisitorArrivals;20150621;22:45;Visitor Arrivals (YoY);New Zealand;NZD;1
