NZD_TotalFilledJobs;20200628;22:45;Total Filled Jobs;New Zealand;NZD;2
JPY_LargeRetailerSales;20200628;23:50;Large Retailer Sales;Japan;JPY;2
JPY_RetailTrade;20200628;23:50;Retail Trade s.a (MoM);Japan;JPY;2
