NZD_ManufacturingSales;20180610;22:45;Manufacturing Sales;New Zealand;NZD;1
JPY_MoneySupplyM2+CD;20180610;23:50;Money Supply M2+CD (YoY);Japan;JPY;1
JPY_MachineryOrders;20180610;23:50;Machinery Orders (MoM);Japan;JPY;2
