CZK_StruggleforFreedomandDemocracyDay;20171117;00:00;Struggle for Freedom and Democracy Day ;Czech Republic;CZK;0
AUD_NewMotorVehicleSales;20171117;00:30;New Motor Vehicle Sales (MoM);Australia;AUD;1
EUR_EurCentralBankSpeech;20171117;08:30;ECB President Draghi speech;European Monetary Union;EUR;3
EUR_EurCurrentAccount;20171117;09:00;Current Account s.a;European Monetary Union;EUR;1
EUR_EurConstructionOutput;20171117;10:00;Construction Output w.d.a (YoY);European Monetary Union;EUR;1
INR_FXReservesUSD;20171117;11:30;FX Reserves, USD;India;INR;1
PLN_CorporateSectorWages;20171117;13:00;Corporate Sector Wages;Poland;PLN;1
EUR_GerCentralBankSpeech;20171117;13:00;German Buba President Weidmann speech;Germany;EUR;2
USD_BuildingPermitsChange;20171117;13:30;Building Permits Change;United States;USD;2
USD_HousingStartsChange;20171117;13:30;Housing Starts Change;United States;USD;2
USD_HousingStarts;20171117;13:30;Housing Starts (MoM);United States;USD;2
USD_BuildingPermits;20171117;13:30;Building Permits (MoM);United States;USD;2
CAD_ConsumerPriceIndex;20171117;13:30;Consumer Price Index - Core (MoM);Canada;CAD;2
USD_KansasFedManufacturingActivity;20171117;16:00;Kansas Fed Manufacturing Activity;United States;USD;1
USD_BakerHughesUSOilRigCount;20171117;18:00;Baker Hughes US Oil Rig Count;United States;USD;2
EUR_EurCFTCEURNCNetPositions;20171117;20:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
AUD_CFTCAUDNCNetPositions;20171117;20:30;CFTC AUD NC Net Positions;Australia;AUD;1
JPY_CFTCJPYNCNetPositions;20171117;20:30;CFTC JPY NC Net Positions;Japan;JPY;1
USD_CFTCOilNCNetPositions;20171117;20:30;CFTC Oil NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20171117;20:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20171117;20:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCS&P500NCNetPositions;20171117;20:30;CFTC S&P 500 NC Net Positions;United States;USD;1
