NZD_RetailSales;20191110;21:45;Electronic Card Retail Sales  (MoM);New Zealand;NZD;1
EUR_FraArmisticeDay;20191110;22:00;Armistice Day;France;EUR;0
PLN_IndependenceDay;20191110;23:00;Independence Day ;Poland;PLN;0
JPY_BankLending;20191110;23:50;Bank Lending (YoY);Japan;JPY;1
JPY_BoJSummaryofOpinions;20191110;23:50;BoJ Summary of Opinions;Japan;JPY;1
JPY_CurrentAccount;20191110;23:50;Current Account n.s.a.;Japan;JPY;1
JPY_TradeBalanceBOPBasis;20191110;23:50;Trade Balance - BOP Basis;Japan;JPY;1
JPY_MachineryOrders;20191110;23:50;Machinery Orders (MoM);Japan;JPY;2
