JPY_AutumnalEquinoxDay;20190922;15:00;Autumnal Equinox Day;Japan;JPY;0
AUD_S&PGlobalCompositePMI;20190922;23:00;S&P Global Composite PMI;Australia;AUD;1
AUD_S&PGlobalServicesPMI;20190922;23:00;S&P Global Services PMI;Australia;AUD;1
AUD_S&PGlobalManufacturingPMI;20190922;23:00;S&P Global Manufacturing PMI;Australia;AUD;2
