EUR_EurG7Meeting;20190825;00:00;G7 Meeting;European Monetary Union;EUR;3
NZD_TradeBalanceNZD;20190825;22:45;Trade Balance NZD (MoM);New Zealand;NZD;1
NZD_Exports;20190825;22:45;Exports;New Zealand;NZD;2
NZD_Imports;20190825;22:45;Imports;New Zealand;NZD;1
