IDR_Muharram;20170921;00:00;Muharram;Indonesia;IDR;0
AUD_RBABulletin;20170921;01:30;RBA Bulletin;Australia;AUD;2
JPY_BoJInterestRateDecision;20170921;03:18;BoJ Interest Rate Decision;Japan;JPY;3
JPY_BoJMonetaryPolicyStatement;20170921;03:18;BoJ Monetary Policy Statement ;Japan;JPY;3
JPY_AllIndustryActivityIndex;20170921;04:30;All Industry Activity Index (MoM);Japan;JPY;2
AUD_CentralBankSpeech;20170921;05:10;RBA Governor Lowe speech;Australia;AUD;3
CHF_SECOEconomicForecasts;20170921;05:45;SECO Economic Forecasts;Switzerland;CHF;1
CHF_TradeBalance;20170921;06:00;Trade Balance;Switzerland;CHF;1
CHF_Exports;20170921;06:00;Exports (MoM);Switzerland;CHF;1
CHF_Imports;20170921;06:00;Imports (MoM);Switzerland;CHF;1
JPY_BoJPressConference;20170921;06:30;BoJ Press Conference;Japan;JPY;3
TRY_ConsumerConfidence;20170921;07:00;Consumer Confidence;Turkey;TRY;1
DKK_ConsumerConfidence;20170921;07:00;Consumer Confidence;Denmark;DKK;1
DKK_RetailSales;20170921;07:00;Retail Sales (YoY);Denmark;DKK;1
EUR_EurEconomicBulletin;20170921;08:00;Economic Bulletin;European Monetary Union;EUR;2
NOK_NorgesBankInterestRateDecision;20170921;08:00;Norges Bank Interest Rate Decision;Norway;NOK;0
GBP_PublicSectorNetBorrowing;20170921;08:30;Public Sector Net Borrowing;United Kingdom;GBP;2
BRL_MidmonthInflation;20170921;12:00;Mid-month Inflation;Brazil;BRL;1
USD_JoblessClaims;20170921;12:30;Continuing Jobless Claims;United States;USD;2
CAD_WholesaleSales;20170921;12:30;Wholesale Sales (MoM);Canada;CAD;1
USD_PhiladelphiaFedManufacturingSurvey;20170921;12:30;Philadelphia Fed Manufacturing Survey;United States;USD;2
MXN_RetailSales;20170921;13:00;Retail Sales (YoY);Mexico;MXN;1
RUB_CentralBankReserves;20170921;13:00;Central Bank Reserves $;Russia;RUB;1
USD_HousingPriceIndex;20170921;13:00;Housing Price Index (MoM);United States;USD;2
ZAR_SARBInterestRateDecision;20170921;13:00;SARB Interest Rate Decision;South Africa;ZAR;1
EUR_EurCentralBankSpeech;20170921;13:30;ECB President Draghi speech;European Monetary Union;EUR;3
EUR_EurConsumerConfidence;20170921;14:00;Consumer Confidence;European Monetary Union;EUR;2
USD_EIANaturalGasStorageChange;20170921;14:30;EIA Natural Gas Storage Change;United States;USD;1
JPY_ForeignInvestmentinJapanStocks;20170921;23:50;Foreign Investment in Japan Stocks;Japan;JPY;2
JPY_ForeignBondInvestment;20170921;23:50;Foreign Bond Investment;Japan;JPY;2
