RON_Unificationday;20220123;21:00;Unification day;Romania;RON;0
AUD_S&PGlobalCompositePMI;20220123;22:00;S&P Global Composite PMI;Australia;AUD;1
AUD_S&PGlobalServicesPMI;20220123;22:00;S&P Global Services PMI;Australia;AUD;2
AUD_S&PGlobalManufacturingPMI;20220123;22:00;S&P Global Manufacturing PMI;Australia;AUD;2
