GBP_DaylightSavingTime;20180325;03:00;Daylight Saving Time;United Kingdom;GBP;0
EUR_EurDaylightSavingTime;20180325;03:00;Daylight Saving Time;European Monetary Union;EUR;0
NZD_TradeBalanceNZD;20180325;21:45;Trade Balance NZD (MoM);New Zealand;NZD;2
NZD_Exports;20180325;21:45;Exports;New Zealand;NZD;2
NZD_Imports;20180325;21:45;Imports;New Zealand;NZD;2
