MXN_BenitoJuarezBirthday;20150316;00:00;Benito Juarez Birthday;Mexico;MXN;0
GBP_RightmoveHousePriceIndex;20150316;00:01;Rightmove House Price Index (YoY);United Kingdom;GBP;1
AUD_NewMotorVehicleSales;20150316;00:30;New Motor Vehicle Sales (YoY);Australia;AUD;1
IDR_Exports;20150316;04:00;Exports;Indonesia;IDR;1
IDR_TradeBalance;20150316;04:00;Trade Balance;Indonesia;IDR;1
IDR_Imports;20150316;04:00;Imports;Indonesia;IDR;1
INR_WPIInflation;20150316;06:30;WPI Inflation;India;INR;1
TRY_UnemploymentRate;20150316;08:00;Unemployment Rate;Turkey;TRY;1
CZK_ProducerPriceIndex;20150316;08:00;Producer Price Index (YoY);Czech Republic;CZK;1
CHF_RetailSales;20150316;08:15;Real Retail Sales (YoY);Switzerland;CHF;2
CHF_ProducerandImportPrices;20150316;08:15;Producer and Import Prices (MoM);Switzerland;CHF;1
TRY_BudgetBalance;20150316;09:00;Budget Balance;Turkey;TRY;1
CZK_CurrentAccount;20150316;09:00;Current Account (MoM);Czech Republic;CZK;1
USD_NYEmpireStateManufacturingIndex;20150316;12:30;NY Empire State Manufacturing Index;United States;USD;1
CAD_ForeignPortfolioInvestmentinCanadianSecurities;20150316;12:30;Foreign Portfolio Investment in Canadian Securities;Canada;CAD;1
CAD_CanadianPortfolioInvestmentinForeignSecurities;20150316;12:30;Canadian Portfolio Investment in Foreign Securities;Canada;CAD;1
PLN_NetInflation;20150316;13:00;Net Inflation;Poland;PLN;1
PLN_CurrentAccount;20150316;13:00;Current Account;Poland;PLN;1
USD_IndustrialProduction;20150316;13:15;Industrial Production (MoM);United States;USD;2
USD_CapacityUtilization;20150316;13:15;Capacity Utilization;United States;USD;2
USD_NAHBHousingMarketIndex;20150316;14:00;NAHB Housing Market Index;United States;USD;2
USD_Auction;20150316;15:30;6-Month Bill Auction;United States;USD;1
EUR_EurCentralBankSpeech;20150316;18:45;ECB President Draghi speech;European Monetary Union;EUR;3
USD_TotalNetTICFlows;20150316;20:00;Total Net TIC Flows;United States;USD;1
USD_NetLongTermTICFlows;20150316;20:00;Net Long-Term TIC Flows;United States;USD;2
