AUD_DaylightSavingTime;20191005;16:00;Daylight Saving Time;Australia;AUD;0
CNY_ChungYeungFestival;20191005;16:00;Chung Yeung Festival ;China;CNY;0
CNY_NationalDay;20191005;16:00;National Day;China;CNY;0
