KRW_S&PGlobalManufacturingPMI;20210503;00:30;S&P Global Manufacturing PMI;South Korea;KRW;1
AUD_TDSecuritiesInflation;20210503;01:00;TD Securities Inflation (MoM);Australia;AUD;2
AUD_ANZJobAdvertisements;20210503;01:30;ANZ Job Advertisements;Australia;AUD;1
IDR_CoreInflation;20210503;04:00;Core Inflation (YoY);Indonesia;IDR;1
IDR_Inflation;20210503;04:00;Inflation (YoY);Indonesia;IDR;1
EUR_GerRetailSales;20210503;06:00;Retail Sales (MoM);Germany;EUR;2
AUD_RBACommodityIndexSDR;20210503;06:30;RBA Commodity Index SDR (YoY);Australia;AUD;1
SEK_PurchasingManagersIndexManufacturing;20210503;06:30;Purchasing Managers Index Manufacturing (MoM);Sweden;SEK;1
TRY_ProducerPriceIndex;20210503;07:00;Producer Price Index (MoM);Turkey;TRY;1
TRY_ConsumerPriceIndex;20210503;07:00;Consumer Price Index (YoY);Turkey;TRY;1
HUF_PurchasingManagerIndex;20210503;07:00;Purchasing Manager Index;Hungary;HUF;1
CHF_SVMEPurchasingManagers'Index;20210503;07:30;SVME - Purchasing Managers' Index;Switzerland;CHF;1
CZK_S&PGlobalPMI;20210503;07:30;S&P Global PMI;Czech Republic;CZK;1
EUR_ItaHCOBManufacturingPMI;20210503;07:45;HCOB Manufacturing PMI;Italy;EUR;2
EUR_FraHCOBManufacturingPMI;20210503;07:50;HCOB Manufacturing PMI;France;EUR;1
EUR_GerHCOBManufacturingPMI;20210503;07:55;HCOB Manufacturing PMI;Germany;EUR;2
TRY_Exports;20210503;08:00;Exports;Turkey;TRY;1
BRL_FipeIPCInflation;20210503;08:00;Fipe IPC Inflation;Brazil;BRL;1
EUR_EurHCOBManufacturingPMI;20210503;08:00;HCOB Manufacturing PMI;European Monetary Union;EUR;1
DKK_ManufacturingPMI;20210503;09:00;Manufacturing PMI;Denmark;DKK;1
CLP_IMACEC;20210503;11:30;IMACEC;Chile;CLP;1
ZAR_TotalNewVehicleSales;20210503;12:00;Total New Vehicle Sales;South Africa;ZAR;1
CZK_BudgetBalance;20210503;12:00;Budget Balance;Czech Republic;CZK;1
BRL_S&PGlobalManufacturingPMI;20210503;13:00;S&P Global Manufacturing PMI;Brazil;BRL;1
CAD_S&PGlobalManufacturingPMI;20210503;13:30;S&P Global Manufacturing PMI;Canada;CAD;2
USD_S&PGlobalManufacturingPMI;20210503;13:45;S&P Global Manufacturing PMI;United States;USD;2
USD_ISMManufacturingPMI;20210503;14:00;ISM Manufacturing PMI;United States;USD;3
USD_ISMManufacturingPricesPaid;20210503;14:00;ISM Manufacturing Prices Paid;United States;USD;2
USD_ISMManufacturingNewOrdersIndex;20210503;14:00;ISM Manufacturing New Orders Index;United States;USD;2
USD_ISMManufacturingEmploymentIndex;20210503;14:00;ISM Manufacturing Employment Index;United States;USD;2
USD_ConstructionSpending;20210503;14:00;Construction Spending (MoM);United States;USD;1
JPY_GreeneryDay;20210503;15:00;Greenery Day;Japan;JPY;0
USD_Auction;20210503;15:30;3-Month Bill Auction;United States;USD;1
USD_LoanOfficerSurvey;20210503;18:00;Loan Officer Survey;United States;USD;1
BRL_TradeBalance;20210503;18:00;Trade Balance;Brazil;BRL;1
USD_CentralBankSpeech;20210503;18:20;Fed Chair Powell speech;United States;USD;3
USD_TotalVehicleSales;20210503;19:30;Total Vehicle Sales;United States;USD;1
MXN_FiscalBalancepesos;20210503;21:00;Fiscal Balance, pesos;Mexico;MXN;1
KRW_ConsumerPriceIndex;20210503;23:00;Consumer Price Index Growth (YoY);South Korea;KRW;1
