EUR_FraBastilleDay;20180714;00:00;Bastille Day;France;EUR;0
CNY_M2MoneySupply;20180714;02:00;M2 Money Supply (YoY);China;CNY;1
CNY_NewLoans;20180714;02:00;New Loans;China;CNY;1
