NZD_FoodPriceIndex;20170115;21:45;Food Price Index (MoM);New Zealand;NZD;1
JPY_ProducerPriceIndex;20170115;23:50;Producer Price Index (YoY);Japan;JPY;1
JPY_MachineryOrders;20170115;23:50;Machinery Orders (YoY);Japan;JPY;1
