PLN_CorporateSectorWages;20210317;09:00;Corporate Sector Wages;Poland;PLN;1
EUR_EurHarmonizedIndexofConsumerPrices;20210317;10:00;Harmonized Index of Consumer Prices (YoY);European Monetary Union;EUR;1
EUR_EurCoreHarmonizedIndexofConsumerPrices;20210317;10:00;Core Harmonized Index of Consumer Prices (YoY);European Monetary Union;EUR;2
EUR_EurConstructionOutput;20210317;10:00;Construction Output w.d.a (YoY);European Monetary Union;EUR;1
EUR_GerAuction;20210317;10:40;30-y Bond Auction;Germany;EUR;1
USD_MBAMortgageApplications;20210317;11:00;MBA Mortgage Applications;United States;USD;1
ZAR_RetailSales;20210317;11:00;Retail Sales (YoY);South Africa;ZAR;1
USD_HousingStartsChange;20210317;12:30;Housing Starts Change;United States;USD;1
USD_BuildingPermitsChange;20210317;12:30;Building Permits Change;United States;USD;1
USD_HousingStarts;20210317;12:30;Housing Starts (MoM);United States;USD;2
USD_BuildingPermits;20210317;12:30;Building Permits (MoM);United States;USD;2
CAD_ConsumerPriceIndex;20210317;12:30;BoC Consumer Price Index Core (YoY);Canada;CAD;3
USD_EIACrudeOilStocksChange;20210317;14:30;EIA Crude Oil Stocks Change;United States;USD;1
RUB_ProducerPriceIndex;20210317;16:00;Producer Price Index (YoY);Russia;RUB;1
USD_FOMCEconomicProjections;20210317;18:00;FOMC Economic Projections;United States;USD;3
USD_InterestRateProjections1styear;20210317;18:00;Interest Rate Projections - 1st year;United States;USD;3
USD_InterestRateProjectionsLonger;20210317;18:00;Interest Rate Projections - Longer;United States;USD;3
USD_FedMonetaryPolicyStatement;20210317;18:00;Fed Monetary Policy Statement;United States;USD;3
USD_InterestRateProjections2ndyear;20210317;18:00;Interest Rate Projections - 2nd year;United States;USD;3
USD_FedInterestRateDecision;20210317;18:00;Fed Interest Rate Decision;United States;USD;3
USD_FOMCPressConference;20210317;18:30;FOMC Press Conference;United States;USD;3
USD_InterestRateProjectionsCurrent;20210317;19:00;Interest Rate Projections - Current;United States;USD;3
BRL_InterestRateDecision;20210317;21:00;Interest Rate Decision;Brazil;BRL;1
NZD_GrossDomesticProduct;20210317;21:45;Gross Domestic Product (QoQ);New Zealand;NZD;3
JPY_ForeignInvestmentinJapanStocks;20210317;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
JPY_ForeignBondInvestment;20210317;23:50;Foreign Bond Investment;Japan;JPY;1
