GBP_RetailSales;20230217;07:00;Retail Sales ex-Fuel (MoM);United Kingdom;GBP;2
EUR_GerProducerPriceIndex;20230217;07:00;Producer Price Index (YoY);Germany;EUR;1
SEK_UnemploymentRate;20230217;07:00;Unemployment Rate;Sweden;SEK;1
CHF_IndustrialProduction;20230217;07:30;Industrial Production (YoY);Switzerland;CHF;2
EUR_FraConsumerPriceIndex;20230217;07:45;Consumer Price Index (EU norm) (MoM);France;EUR;1
EUR_FraInflationextobacco;20230217;07:45;Inflation ex-tobacco (MoM);France;EUR;1
EUR_EurCurrentAccount;20230217;09:00;Current Account s.a;European Monetary Union;EUR;1
EUR_EurCentralBankSpeech;20230217;11:30;ECB Villeroy speech;European Monetary Union;EUR;2
INR_FXReservesUSD;20230217;11:30;FX Reserves, USD;India;INR;1
CAD_RawMaterialPriceIndex;20230217;13:30;Raw Material Price Index;Canada;CAD;1
CAD_IndustrialProductPrice;20230217;13:30;Industrial Product Price (MoM);Canada;CAD;1
CAD_ForeignPortfolioInvestmentinCanadianSecurities;20230217;13:30;Foreign Portfolio Investment in Canadian Securities;Canada;CAD;1
CAD_CanadianPortfolioInvestmentinForeignSecurities;20230217;13:30;Canadian Portfolio Investment in Foreign Securities;Canada;CAD;1
USD_ExportPriceIndex;20230217;13:30;Export Price Index (YoY);United States;USD;1
USD_ImportPriceIndex;20230217;13:30;Import Price Index (YoY);United States;USD;1
USD_CentralBankSpeech;20230217;13:45;Fed Bowman speech;United States;USD;2
IDR_IsraMiraj;20230217;17:00;Isra Miraj;Indonesia;IDR;0
USD_BakerHughesUSOilRigCount;20230217;18:00;Baker Hughes US Oil Rig Count;United States;USD;1
INR_MahaShivratri;20230217;18:30;Maha Shivratri ;India;INR;0
