NZD_FoodPriceIndex;20210912;22:45;Food Price Index (MoM);New Zealand;NZD;1
JPY_ProducerPriceIndex;20210912;23:50;Producer Price Index (MoM);Japan;JPY;1
JPY_BSILargeManufacturingConditionsIndex;20210912;23:50;BSI Large Manufacturing Conditions Index (QoQ);Japan;JPY;1
