INR_Holi;20190321;00:00;Holi ;India;INR;0
EUR_EurEuropeanCouncilMeeting;20190321;00:00;European Council Meeting;European Monetary Union;EUR;2
MXN_BenitoJuarezBirthday;20190321;00:00;Benito Juarez Birthday;Mexico;MXN;0
ZAR_HumanRightsDay;20190321;00:00;Human Rights Day;South Africa;ZAR;0
AUD_EmploymentChange;20190321;00:30;Employment Change s.a.;Australia;AUD;3
AUD_PartTimeEmployment;20190321;00:30;Part-Time Employment;Australia;AUD;1
AUD_FullTimeEmployment;20190321;00:30;Full-Time Employment;Australia;AUD;2
AUD_ParticipationRate;20190321;00:30;Participation Rate;Australia;AUD;1
AUD_UnemploymentRate;20190321;00:30;Unemployment Rate s.a.;Australia;AUD;3
AUD_RBABulletin;20190321;00:30;RBA Bulletin;Australia;AUD;2
NZD_CreditCardSpending;20190321;02:00;Credit Card Spending (YoY);New Zealand;NZD;1
TRY_ConsumerConfidence;20190321;07:00;Consumer Confidence;Turkey;TRY;1
DKK_ConsumerConfidence;20190321;07:00;Consumer Confidence;Denmark;DKK;1
IDR_BankIndonesiaRate;20190321;07:14;Bank Indonesia Rate;Indonesia;IDR;1
CHF_SNBInterestRateDecision;20190321;08:30;SNB Interest Rate Decision;Switzerland;CHF;3
CHF_SNBMonetaryPolicyAssessment;20190321;08:30;SNB Monetary Policy Assessment;Switzerland;CHF;3
PLN_RetailSales;20190321;09:00;Retail Sales (YoY);Poland;PLN;1
EUR_EurEconomicBulletin;20190321;09:00;Economic Bulletin;European Monetary Union;EUR;2
NOK_NorgesBankInterestRateDecision;20190321;09:00;Norges Bank Interest Rate Decision;Norway;NOK;1
GBP_RetailSales;20190321;09:30;Retail Sales (MoM);United Kingdom;GBP;2
GBP_PublicSectorNetBorrowing;20190321;09:30;Public Sector Net Borrowing;United Kingdom;GBP;2
GBP_BoEAssetPurchaseFacility;20190321;12:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20190321;12:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_MonetaryPolicySummary;20190321;12:00;Monetary Policy Summary;United Kingdom;GBP;3
GBP_BoEMPCVoteRateCut;20190321;12:00;BoE MPC Vote Rate Cut;United Kingdom;GBP;3
GBP_BoEMPCVoteRateUnchanged;20190321;12:00;BoE MPC Vote Rate Unchanged;United Kingdom;GBP;3
GBP_BoEMPCVoteRateHike;20190321;12:00;BoE MPC Vote Rate Hike;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20190321;12:00;Bank of England Minutes;United Kingdom;GBP;3
USD_JoblessClaims;20190321;12:30;Initial Jobless Claims 4-week average;United States;USD;2
CAD_WholesaleSales;20190321;12:30;Wholesale Sales (MoM);Canada;CAD;1
USD_PhiladelphiaFedManufacturingSurvey;20190321;12:30;Philadelphia Fed Manufacturing Survey;United States;USD;2
CAD_ADPEmploymentChange;20190321;12:33;ADP Employment Change;Canada;CAD;1
RUB_CentralBankReserves;20190321;13:00;Central Bank Reserves $;Russia;RUB;1
MXN_PrivateSpending;20190321;14:27;Private Spending (YoY);Mexico;MXN;1
USD_EIANaturalGasStorageChange;20190321;14:30;EIA Natural Gas Storage Change;United States;USD;1
EUR_EurConsumerConfidence;20190321;15:00;Consumer Confidence;European Monetary Union;EUR;1
USD_Auction;20190321;15:30;4-Week Bill Auction;United States;USD;1
AUD_S&PGlobalManufacturingPMI;20190321;22:00;S&P Global Manufacturing PMI;Australia;AUD;2
AUD_S&PGlobalServicesPMI;20190321;22:00;S&P Global Services PMI;Australia;AUD;1
AUD_S&PGlobalCompositePMI;20190321;22:00;S&P Global Composite PMI;Australia;AUD;1
JPY_NationalCPIexFoodEnergy;20190321;23:30;National CPI ex Food, Energy (YoY);Japan;JPY;2
JPY_ConsumerPriceIndex;20190321;23:30;National Consumer Price Index (YoY);Japan;JPY;2
JPY_NationalCPIexFreshFood;20190321;23:30;National CPI ex-Fresh Food (YoY);Japan;JPY;2
JPY_ForeignInvestmentinJapanStocks;20190321;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
JPY_ForeignBondInvestment;20190321;23:50;Foreign Bond Investment;Japan;JPY;1
