IDR_EidAlFitr;20170625;00:00;Eid Al Fitr;Indonesia;IDR;0
JPY_CorporateServicePriceIndex;20170625;23:50;Corporate Service Price Index (YoY);Japan;JPY;1
JPY_BoJSummaryofOpinions;20170625;23:50;BoJ Summary of Opinions;Japan;JPY;1
