Period 0: 1995-02-26 2015-01-02 2015-01-03 2015-01-09
Period 1: 1995-03-05 2015-01-09 2015-01-10 2015-01-16
Period 2: 1995-03-12 2015-01-16 2015-01-17 2015-01-23
Period 3: 1995-03-19 2015-01-23 2015-01-24 2015-01-30
Period 4: 1995-03-26 2015-01-30 2015-01-31 2015-02-06
Period 5: 1995-04-02 2015-02-06 2015-02-07 2015-02-13
Period 6: 1995-04-09 2015-02-13 2015-02-14 2015-02-20
Period 7: 1995-04-16 2015-02-20 2015-02-21 2015-02-27
Period 8: 1995-04-23 2015-02-27 2015-02-28 2015-03-06
Period 9: 1995-04-30 2015-03-06 2015-03-07 2015-03-13
Period 10: 1995-05-07 2015-03-13 2015-03-14 2015-03-20
Period 11: 1995-05-14 2015-03-20 2015-03-21 2015-03-27
Period 12: 1995-05-21 2015-03-27 2015-03-28 2015-04-03
Period 13: 1995-05-28 2015-04-03 2015-04-04 2015-04-10
Period 14: 1995-06-04 2015-04-10 2015-04-11 2015-04-17
Period 15: 1995-06-11 2015-04-17 2015-04-18 2015-04-24
Period 16: 1995-06-18 2015-04-24 2015-04-25 2015-05-01
Period 17: 1995-06-25 2015-05-01 2015-05-02 2015-05-08
Period 18: 1995-07-02 2015-05-08 2015-05-09 2015-05-15
Period 19: 1995-07-09 2015-05-15 2015-05-16 2015-05-22
Period 20: 1995-07-16 2015-05-22 2015-05-23 2015-05-29
Period 21: 1995-07-23 2015-05-29 2015-05-30 2015-06-05
Period 22: 1995-07-30 2015-06-05 2015-06-06 2015-06-12
Period 23: 1995-08-06 2015-06-12 2015-06-13 2015-06-19
Period 24: 1995-08-13 2015-06-19 2015-06-20 2015-06-26
Period 25: 1995-08-20 2015-06-26 2015-06-27 2015-07-03
Period 26: 1995-08-27 2015-07-03 2015-07-04 2015-07-10
Period 27: 1995-09-03 2015-07-10 2015-07-11 2015-07-17
Period 28: 1995-09-10 2015-07-17 2015-07-18 2015-07-24
Period 29: 1995-09-17 2015-07-24 2015-07-25 2015-07-31
Period 30: 1995-09-24 2015-07-31 2015-08-01 2015-08-07
Period 31: 1995-10-01 2015-08-07 2015-08-08 2015-08-14
Period 32: 1995-10-08 2015-08-14 2015-08-15 2015-08-21
Period 33: 1995-10-15 2015-08-21 2015-08-22 2015-08-28
Period 34: 1995-10-22 2015-08-28 2015-08-29 2015-09-04
Period 35: 1995-10-29 2015-09-04 2015-09-05 2015-09-11
Period 36: 1995-11-05 2015-09-11 2015-09-12 2015-09-18
Period 37: 1995-11-12 2015-09-18 2015-09-19 2015-09-25
Period 38: 1995-11-19 2015-09-25 2015-09-26 2015-10-02
Period 39: 1995-11-26 2015-10-02 2015-10-03 2015-10-09
Period 40: 1995-12-03 2015-10-09 2015-10-10 2015-10-16
Period 41: 1995-12-10 2015-10-16 2015-10-17 2015-10-23
Period 42: 1995-12-17 2015-10-23 2015-10-24 2015-10-30
Period 43: 1995-12-24 2015-10-30 2015-10-31 2015-11-06
Period 44: 1995-12-31 2015-11-06 2015-11-07 2015-11-13
Period 45: 1996-01-07 2015-11-13 2015-11-14 2015-11-20
Period 46: 1996-01-14 2015-11-20 2015-11-21 2015-11-27
Period 47: 1996-01-21 2015-11-27 2015-11-28 2015-12-04
Period 48: 1996-01-28 2015-12-04 2015-12-05 2015-12-11
Period 49: 1996-02-04 2015-12-11 2015-12-12 2015-12-18
Period 50: 1996-02-11 2015-12-18 2015-12-19 2015-12-25
Period 51: 1996-02-18 2015-12-25 2015-12-26 2016-01-01
Period 52: 1996-02-25 2016-01-01 2016-01-02 2016-01-08
Period 53: 1996-03-03 2016-01-08 2016-01-09 2016-01-15
Period 54: 1996-03-10 2016-01-15 2016-01-16 2016-01-22
Period 55: 1996-03-17 2016-01-22 2016-01-23 2016-01-29
Period 56: 1996-03-24 2016-01-29 2016-01-30 2016-02-05
