STRATEGY;CONFIG;FRONT;BACK;STARTTIME;ENDTIME;CORRELATION;TSTIME;TETIME
SLSL;SLSL;XLIF.Z.0;XCME.ES.0;090000;185900;1;090000;185900
SLSL;SLSL;XLIF.Z.0;XCME.NQ.0;090000;185900;1;090000;185900
