STRATEGY;CONFIG;FRONT;BACK;STARTTIME;ENDTIME;CORRELATION;TSTIME;TETIME
SLSL;SLSL;XCME.ZN.0;XLIF.R.0;090000;185900;1;090000;185900
SLSL;SLSL;XCME.ZB.0;XLIF.R.0;090000;185900;1;090000;185900
