Period 0: 1997-03-02 2017-01-06 2017-01-07 2017-01-13
Period 1: 1997-03-09 2017-01-13 2017-01-14 2017-01-20
Period 2: 1997-03-16 2017-01-20 2017-01-21 2017-01-27
Period 3: 1997-03-23 2017-01-27 2017-01-28 2017-02-03
Period 4: 1997-03-30 2017-02-03 2017-02-04 2017-02-10
Period 5: 1997-04-06 2017-02-10 2017-02-11 2017-02-17
Period 6: 1997-04-13 2017-02-17 2017-02-18 2017-02-24
Period 7: 1997-04-20 2017-02-24 2017-02-25 2017-03-03
Period 8: 1997-04-27 2017-03-03 2017-03-04 2017-03-10
Period 9: 1997-05-04 2017-03-10 2017-03-11 2017-03-17
Period 10: 1997-05-11 2017-03-17 2017-03-18 2017-03-24
Period 11: 1997-05-18 2017-03-24 2017-03-25 2017-03-31
Period 12: 1997-05-25 2017-03-31 2017-04-01 2017-04-07
Period 13: 1997-06-01 2017-04-07 2017-04-08 2017-04-14
Period 14: 1997-06-08 2017-04-14 2017-04-15 2017-04-21
Period 15: 1997-06-15 2017-04-21 2017-04-22 2017-04-28
Period 16: 1997-06-22 2017-04-28 2017-04-29 2017-05-05
Period 17: 1997-06-29 2017-05-05 2017-05-06 2017-05-12
Period 18: 1997-07-06 2017-05-12 2017-05-13 2017-05-19
Period 19: 1997-07-13 2017-05-19 2017-05-20 2017-05-26
Period 20: 1997-07-20 2017-05-26 2017-05-27 2017-06-02
Period 21: 1997-07-27 2017-06-02 2017-06-03 2017-06-09
Period 22: 1997-08-03 2017-06-09 2017-06-10 2017-06-16
Period 23: 1997-08-10 2017-06-16 2017-06-17 2017-06-23
Period 24: 1997-08-17 2017-06-23 2017-06-24 2017-06-30
Period 25: 1997-08-24 2017-06-30 2017-07-01 2017-07-07
Period 26: 1997-08-31 2017-07-07 2017-07-08 2017-07-14
Period 27: 1997-09-07 2017-07-14 2017-07-15 2017-07-21
Period 28: 1997-09-14 2017-07-21 2017-07-22 2017-07-28
Period 29: 1997-09-21 2017-07-28 2017-07-29 2017-08-04
Period 30: 1997-09-28 2017-08-04 2017-08-05 2017-08-11
Period 31: 1997-10-05 2017-08-11 2017-08-12 2017-08-18
Period 32: 1997-10-12 2017-08-18 2017-08-19 2017-08-25
Period 33: 1997-10-19 2017-08-25 2017-08-26 2017-09-01
Period 34: 1997-10-26 2017-09-01 2017-09-02 2017-09-08
Period 35: 1997-11-02 2017-09-08 2017-09-09 2017-09-15
Period 36: 1997-11-09 2017-09-15 2017-09-16 2017-09-22
Period 37: 1997-11-16 2017-09-22 2017-09-23 2017-09-29
Period 38: 1997-11-23 2017-09-29 2017-09-30 2017-10-06
Period 39: 1997-11-30 2017-10-06 2017-10-07 2017-10-13
