Period 82: 2016-08-08 2018-08-03 2018-08-04 2018-08-10
Period 83: 2016-08-15 2018-08-10 2018-08-11 2018-08-17
Period 84: 2016-08-22 2018-08-17 2018-08-18 2018-08-24
Period 85: 2016-08-29 2018-08-24 2018-08-25 2018-08-31
Period 86: 2016-09-05 2018-08-31 2018-09-01 2018-09-07
Period 87: 2016-09-12 2018-09-07 2018-09-08 2018-09-14
Period 88: 2016-09-19 2018-09-14 2018-09-15 2018-09-21
Period 89: 2016-09-26 2018-09-21 2018-09-22 2018-09-28
Period 90: 2016-10-03 2018-09-28 2018-09-29 2018-10-05
Period 91: 2016-10-10 2018-10-05 2018-10-06 2018-10-12
Period 92: 2016-10-17 2018-10-12 2018-10-13 2018-10-19
Period 93: 2016-10-24 2018-10-19 2018-10-20 2018-10-26
Period 94: 2016-10-31 2018-10-26 2018-10-27 2018-11-02
Period 95: 2016-11-07 2018-11-02 2018-11-03 2018-11-09
Period 96: 2016-11-14 2018-11-09 2018-11-10 2018-11-16
Period 97: 2016-11-21 2018-11-16 2018-11-17 2018-11-23
Period 98: 2016-11-28 2018-11-23 2018-11-24 2018-11-30
Period 99: 2016-12-05 2018-11-30 2018-12-01 2018-12-07
Period 100: 2016-12-12 2018-12-07 2018-12-08 2018-12-14
Period 101: 2016-12-19 2018-12-14 2018-12-15 2018-12-21
Period 102: 2016-12-26 2018-12-21 2018-12-22 2018-12-28
Period 103: 2017-01-02 2018-12-28 2018-12-29 2019-01-04
Period 104: 2017-01-09 2019-01-04 2019-01-05 2019-01-11
Period 105: 2017-01-16 2019-01-11 2019-01-12 2019-01-18
Period 106: 2017-01-23 2019-01-18 2019-01-19 2019-01-25
Period 107: 2017-01-30 2019-01-25 2019-01-26 2019-02-01
Period 108: 2017-02-06 2019-02-01 2019-02-02 2019-02-08
Period 109: 2017-02-13 2019-02-08 2019-02-09 2019-02-15
Period 110: 2017-02-20 2019-02-15 2019-02-16 2019-02-22
Period 111: 2017-02-27 2019-02-22 2019-02-23 2019-03-01
Period 112: 2017-03-06 2019-03-01 2019-03-02 2019-03-08
Period 113: 2017-03-13 2019-03-08 2019-03-09 2019-03-15
Period 114: 2017-03-20 2019-03-15 2019-03-16 2019-03-22
Period 115: 2017-03-27 2019-03-22 2019-03-23 2019-03-29
Period 116: 2017-04-03 2019-03-29 2019-03-30 2019-04-05
Period 117: 2017-04-10 2019-04-05 2019-04-06 2019-04-12
Period 118: 2017-04-17 2019-04-12 2019-04-13 2019-04-19
Period 119: 2017-04-24 2019-04-19 2019-04-20 2019-04-26
Period 120: 2017-05-01 2019-04-26 2019-04-27 2019-05-03
Period 121: 2017-05-08 2019-05-03 2019-05-04 2019-05-10
Period 122: 2017-05-15 2019-05-10 2019-05-11 2019-05-17
Period 123: 2017-05-22 2019-05-17 2019-05-18 2019-05-24
Period 124: 2017-05-29 2019-05-24 2019-05-25 2019-05-31
Period 125: 2017-06-05 2019-05-31 2019-06-01 2019-06-07
Period 126: 2017-06-12 2019-06-07 2019-06-08 2019-06-14
Period 127: 2017-06-19 2019-06-14 2019-06-15 2019-06-21
Period 128: 2017-06-26 2019-06-21 2019-06-22 2019-06-28
Period 129: 2017-07-03 2019-06-28 2019-06-29 2019-07-05
Period 130: 2017-07-10 2019-07-05 2019-07-06 2019-07-12
Period 131: 2017-07-17 2019-07-12 2019-07-13 2019-07-19
Period 132: 2017-07-24 2019-07-19 2019-07-20 2019-07-26
Period 133: 2017-07-31 2019-07-26 2019-07-27 2019-08-02
Period 134: 2017-08-07 2019-08-02 2019-08-03 2019-08-09
Period 135: 2017-08-14 2019-08-09 2019-08-10 2019-08-16
Period 136: 2017-08-21 2019-08-16 2019-08-17 2019-08-23
Period 137: 2017-08-28 2019-08-23 2019-08-24 2019-08-30
Period 138: 2017-09-04 2019-08-30 2019-08-31 2019-09-06
Period 139: 2017-09-11 2019-09-06 2019-09-07 2019-09-13
Period 140: 2017-09-18 2019-09-13 2019-09-14 2019-09-20
Period 141: 2017-09-25 2019-09-20 2019-09-21 2019-09-27
Period 142: 2017-10-02 2019-09-27 2019-09-28 2019-10-04
Period 143: 2017-10-09 2019-10-04 2019-10-05 2019-10-11
