PEN_Tradebalance;20160109;14:00;Trade balance;Peru;PEN;1
CNY_ConsumerPriceIndex;20160109;01:30;Consumer Price Index (YoY);China;CNY;2
CNY_ProducerPriceIndex;20160109;01:30;Producer Price Index (YoY);China;CNY;2
