NZD_NZIERBusinessConfidence;20090406;22:00;NZIER Business Confidence (QoQ);New Zealand;NZD;1
CAD_IveyPurchasingManagersIndex;20090406;14:00;Ivey Purchasing Managers Index;Canada;CAD;2
CAD_BuildingPermits;20090406;12:30;Building Permits (MoM);Canada;CAD;1
EUR_EurProducerPriceIndex;20090406;09:00;Producer Price Index (YoY);European Monetary Union;EUR;1
EUR_EurRetailSales;20090406;09:00;Retail Sales (MoM);European Monetary Union;EUR;2
EUR_EurSentixInvestorConfidence;20090406;08:30;Sentix Investor Confidence;European Monetary Union;EUR;1
JPY_LeadingEconomicIndex;20090406;05:00;Leading Economic Index;Japan;JPY;1
JPY_CoincidentIndex;20090406;05:00;Coincident Index;Japan;JPY;1
AUD_ANZJobAdvertisements;20090406;01:30;ANZ Job Advertisements;Australia;AUD;1
