AUD_AiGPerformanceofMfgIndex;20170430;23:30;AiG Performance of Mfg Index;Australia;AUD;2
CNY_NonManufacturingPMI;20170430;01:00;Non-Manufacturing PMI;China;CNY;2
CNY_NBSManufacturingPMI;20170430;01:00;NBS Manufacturing PMI;China;CNY;2
