GBP_RightmoveHousePriceIndex;20140914;23:01;Rightmove House Price Index (MoM);United Kingdom;GBP;1
KRW_ImportPriceGrowth;20140914;21:00;Import Price Growth (YoY);South Korea;KRW;1
KRW_ExportPriceGrowth;20140914;21:00;Export Price Growth (YoY);South Korea;KRW;1
