USD_CentralBankSpeech;20180908;14:45;Fed Rosengren speech;United States;USD;2
CNY_Exports;20180908;04:00;Exports (YoY) CNY;China;CNY;2
CNY_Imports;20180908;04:00;Imports (YoY) CNY;China;CNY;2
CNY_TradeBalanceCNY;20180908;04:00;Trade Balance CNY;China;CNY;2
CNY_TradeBalanceUSD;20180908;04:00;Trade Balance USD;China;CNY;2
