NZD_UnemploymentRate;20080206;21:45;Unemployment Rate;New Zealand;NZD;2
USD_EIACrudeOilStocksChange;20080206;15:30;EIA Crude Oil Stocks Change;United States;USD;1
CAD_IveyPurchasingManagersIndex;20080206;15:00;Ivey Purchasing Managers Index;Canada;CAD;1
USD_NonfarmProductivity;20080206;13:30;Nonfarm Productivity;United States;USD;1
CAD_BuildingPermits;20080206;13:30;Building Permits (MoM);Canada;CAD;1
USD_MBAMortgageApplications;20080206;12:00;MBA Mortgage Applications;United States;USD;0
GBP_BRCShopPriceIndex;20080206;10:30;BRC Shop Price Index (YoY);United Kingdom;GBP;2
JPY_LeadingEconomicIndex;20080206;05:00;Leading Economic Index;Japan;JPY;1
GBP_NationwideConsumerConfidence;20080206;00:01;Nationwide Consumer Confidence;United Kingdom;GBP;2
