GBP_NationwideConsumerConfidence;20100414;23:01;Nationwide Consumer Confidence;United Kingdom;GBP;2
NZD_BusinessNZPMI;20100414;22:30;Business NZ PMI;New Zealand;NZD;1
USD_FedBeigeBook;20100414;18:00;Fed Beige Book;United States;USD;2
USD_EIACrudeOilStocksChange;20100414;14:30;EIA Crude Oil Stocks Change;United States;USD;1
USD_BusinessInventories;20100414;14:00;Business Inventories;United States;USD;1
USD_FedChairBernanketestifies;20100414;14:00;Fed Chair Bernanke testifies;United States;USD;3
USD_RetailSales;20100414;12:30;Retail Sales (MoM);United States;USD;3
USD_ConsumerPriceIndex;20100414;12:30;Consumer Price Index ex Food & Energy (MoM);United States;USD;2
USD_MBAMortgageApplications;20100414;11:00;MBA Mortgage Applications;United States;USD;1
EUR_EurIndustrialProduction;20100414;09:00;Industrial Production w.d.a. (YoY);European Monetary Union;EUR;2
AUD_WestpacConsumerConfidence;20100414;00:30;Westpac Consumer Confidence;Australia;AUD;2
