AUD_RBAMeetingMinutes;20220517;01:30;RBA Meeting Minutes;Australia;AUD;3
JPY_TertiaryIndustryIndex;20220517;04:30;Tertiary Industry Index (MoM);Japan;JPY;1
GBP_ClaimantCountChange;20220517;06:00;Claimant Count Change;United Kingdom;GBP;3
GBP_ILOUnemploymentRate;20220517;06:00;ILO Unemployment Rate (3M);United Kingdom;GBP;3
GBP_ClaimantCountRate;20220517;06:00;Claimant Count Rate;United Kingdom;GBP;2
GBP_AverageEarningsIncludingBonus;20220517;06:00;Average Earnings Including Bonus (3Mo/Yr);United Kingdom;GBP;2
GBP_AverageEarningsExcludingBonus;20220517;06:00;Average Earnings Excluding Bonus (3Mo/Yr);United Kingdom;GBP;2
RON_GrossDomesticProduct;20220517;06:00;Gross Domestic Product;Romania;RON;1
HUF_GrossDomesticProduct;20220517;07:00;Gross Domestic Product (YoY);Hungary;HUF;1
GBP_Auction;20220517;09:00;30-y Bond Auction;United Kingdom;GBP;1
EUR_EurGrossDomesticProduct;20220517;09:00;Gross Domestic Product s.a. (YoY);European Monetary Union;EUR;3
EUR_EurEmploymentChange;20220517;09:00;Employment Change (QoQ);European Monetary Union;EUR;1
ZAR_BusinessConfidenceIndex;20220517;09:30;Business Confidence Index;South Africa;ZAR;1
USD_RetailSales;20220517;12:30;Retail Sales Control Group;United States;USD;3
CAD_CanadianPortfolioInvestmentinForeignSecurities;20220517;12:30;Canadian Portfolio Investment in Foreign Securities;Canada;CAD;1
CAD_ForeignPortfolioInvestmentinCanadianSecurities;20220517;12:30;Foreign Portfolio Investment in Canadian Securities;Canada;CAD;1
USD_RedbookIndex;20220517;12:55;Redbook Index (YoY);United States;USD;1
USD_IndustrialProduction;20220517;13:15;Industrial Production (MoM);United States;USD;1
USD_CapacityUtilization;20220517;13:15;Capacity Utilization;United States;USD;1
USD_BusinessInventories;20220517;14:00;Business Inventories;United States;USD;1
USD_NAHBHousingMarketIndex;20220517;14:00;NAHB Housing Market Index;United States;USD;1
NZD_GDTPriceIndex;20220517;15:00;GDT Price Index;New Zealand;NZD;1
USD_Auction;20220517;15:30;52-Week Bill Auction;United States;USD;1
EUR_EurCentralBankSpeech;20220517;17:00;ECB President Lagarde speech;European Monetary Union;EUR;3
USD_CentralBankSpeech;20220517;18:30;Fed Mester speech;United States;USD;2
USD_APIWeeklyCrudeOilStock;20220517;20:30;API Weekly Crude Oil Stock;United States;USD;1
JPY_GrossDomesticProduct;20220517;23:50;Gross Domestic Product (QoQ);Japan;JPY;3
