JPY_CapitalSpending;20091202;23:50;Capital Spending;Japan;JPY;1
AUD_AiGPerformanceofServicesIndex;20091202;22:30;AiG Performance of Services Index;Australia;AUD;1
USD_FedBeigeBook;20091202;19:00;Fed Beige Book;United States;USD;2
USD_EIACrudeOilStocksChange;20091202;15:30;EIA Crude Oil Stocks Change;United States;USD;1
USD_ADPEmploymentChange;20091202;13:15;ADP Employment Change;United States;USD;2
USD_MBAMortgageApplications;20091202;12:00;MBA Mortgage Applications;United States;USD;1
EUR_EurProducerPriceIndex;20091202;10:00;Producer Price Index (YoY);European Monetary Union;EUR;1
GBP_MarkitConstructionPMI;20091202;09:30;Markit Construction PMI;United Kingdom;GBP;1
GBP_RICSHousingPriceBalance;20091202;00:01;RICS Housing Price Balance;United Kingdom;GBP;2
