USD_TradeBalance;20080509;12:30;Trade Balance;United States;USD;3
CAD_InternationalMerchandiseTrade;20080509;12:30;International Merchandise Trade;Canada;CAD;2
CAD_UnemploymentRate;20080509;11:00;Unemployment Rate;Canada;CAD;2
CAD_NetChangeinEmployment;20080509;11:00;Net Change in Employment;Canada;CAD;2
JPY_LeadingEconomicIndex;20080509;05:00;Leading Economic Index;Japan;JPY;2
JPY_CoincidentIndex;20080509;05:00;Coincident Index;Japan;JPY;2
AUD_RBARateStatement;20080509;01:30;RBA Rate Statement;Australia;AUD;2
