USD_EIANaturalGasStorageChange;20141231;17:00;EIA Natural Gas Storage Change;United States;USD;1
USD_EIACrudeOilStocksChange;20141231;15:30;EIA Crude Oil Stocks Change;United States;USD;1
USD_PendingHomeSales;20141231;15:00;Pending Home Sales (YoY);United States;USD;2
USD_ChicagoPurchasingManagers'Index;20141231;14:45;Chicago Purchasing Managers' Index;United States;USD;2
USD_JoblessClaims;20141231;13:30;Initial Jobless Claims;United States;USD;2
INR_InfrastructureOutput;20141231;12:30;Infrastructure Output (YoY);India;INR;1
RUB_CentralBankReserves;20141231;12:00;Central Bank Reserves $;Russia;RUB;1
INR_FederalFiscalDeficitINR;20141231;10:30;Federal Fiscal Deficit, INR;India;INR;1
EUR_GreRetailSales;20141231;10:00;Retail Sales (YoY);Greece;EUR;1
CZK_M2MoneySupply;20141231;09:00;M2 Money Supply (YoY);Czech Republic;CZK;1
TRY_TradeBalance;20141231;08:00;Trade Balance;Turkey;TRY;1
CZK_ForeignDebt;20141231;08:00;Foreign Debt;Czech Republic;CZK;1
ZAR_PrivateSectorCredit;20141231;06:00;Private Sector Credit;South Africa;ZAR;1
ZAR_M3MoneySupply;20141231;06:00;M3 Money Supply (YoY);South Africa;ZAR;1
CNY_CaixinManufacturingPMI;20141231;01:45;Caixin Manufacturing PMI;China;CNY;1
AUD_PrivateSectorCredit;20141231;00:30;Private Sector Credit (YoY);Australia;AUD;1
JPY_BankHoliday;20141231;00:00;Bank Holiday;Japan;JPY;0
KRW_TradeBalance;20141231;00:00;Trade Balance;South Korea;KRW;1
SEK_NewYearsEve;20141231;00:00;New Years Eve;Sweden;SEK;0
