JPY_MonetaryBase;20130106;23:50;Monetary Base (YoY);Japan;JPY;1
EUR_GreEpiphany;20130106;00:00;Epiphany;Greece;EUR;0
ARS_Epiphany;20130106;00:00;Epiphany;Argentina;ARS;0
EUR_ItaEpiphany;20130106;00:00;Epiphany;Italy;EUR;0
EUR_FinEpiphany;20130106;00:00;Epiphany;Finland;EUR;0
EUR_AusEpiphany;20130106;00:00;Epiphany;Austria;EUR;0
EUR_SpaEpiphany;20130106;00:00;Epiphany;Spain;EUR;0
SEK_Epiphany;20130106;00:00;Epiphany;Sweden;SEK;0
PLN_Epiphany;20130106;00:00;Epiphany;Poland;PLN;0
