KRW_ConsumerPriceIndex;20120302;23:00;Consumer Price Index Growth (MoM);South Korea;KRW;1
DKK_CurrencyReserves;20120302;15:00;Currency Reserves;Denmark;DKK;1
MXN_ConsumerConfidence;20120302;14:00;Consumer Confidence s.a;Mexico;MXN;1
CAD_GrossDomesticProduct;20120302;13:30;Gross Domestic Product Annualized (QoQ);Canada;CAD;2
INR_FXReservesUSD;20120302;11:30;FX Reserves, USD;India;INR;1
EUR_EurProducerPriceIndex;20120302;10:00;Producer Price Index (MoM);European Monetary Union;EUR;2
GBP_MarkitConstructionPMI;20120302;09:30;Markit Construction PMI;United Kingdom;GBP;2
ZAR_TotalNewVehicleSales;20120302;09:00;Total New Vehicle Sales;South Africa;ZAR;1
HUF_TradeBalance;20120302;08:00;Trade Balance;Hungary;HUF;1
EUR_GerRetailSales;20120302;07:00;Retail Sales (YoY);Germany;EUR;2
EUR_FinGrossDomesticProduct;20120302;07:00;Gross Domestic Product Qtr Prelim (YoY);Finland;EUR;1
EUR_SpaUnemploymentChange;20120302;07:00;Unemployment Change;Spain;EUR;1
NZD_ANZCommodityPrice;20120302;00:00;ANZ Commodity Price;New Zealand;NZD;1
EUR_EurEUExtraordinaryEconomicSummit;20120302;00:00;EU Extraordinary Economic Summit;European Monetary Union;EUR;3
