JPY_DomesticCorporateGoodsPriceIndex;20100712;23:50;Domestic Corporate Goods Price Index (YoY);Japan;JPY;0
GBP_RICSHousingPriceBalance;20100712;23:01;RICS Housing Price Balance;United Kingdom;GBP;1
GBP_RetailSales;20100712;23:01;BRC Like-For-Like Retail Sales (YoY);United Kingdom;GBP;1
NZD_FoodPriceIndex;20100712;22:45;Food Price Index (MoM);New Zealand;NZD;1
USD_IBDTIPPEconomicOptimism;20100712;16:00;IBD/TIPP Economic Optimism (MoM);United States;USD;1
GBP_GrossDomesticProduct;20100712;08:30;Gross Domestic Product (YoY);United Kingdom;GBP;2
GBP_IndexofServices;20100712;08:30;Index of Services (3M/3M);United Kingdom;GBP;1
GBP_CurrentAccount;20100712;08:30;Current Account;United Kingdom;GBP;1
AUD_InvestmentLendingforHomes;20100712;01:30;Investment Lending for Homes;Australia;AUD;1
AUD_HomeLoans;20100712;01:30;Home Loans;Australia;AUD;1
