JPY_CFTCJPYNCNetPositions;20170512;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
AUD_CFTCAUDNCNetPositions;20170512;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
USD_CFTCGoldNCNetPositions;20170512;19:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCUSDNCNetPositions;20170512;19:30;CFTC USD NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20170512;19:30;CFTC Oil NC Net Positions;United States;USD;1
EUR_EurCFTCEURNCNetPositions;20170512;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
GBP_CFTCGBPNCNetPositions;20170512;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
COP_Industrialouput;20170512;19:30;Industrial ouput (YoY);Colombia;COP;1
COP_RetailSales;20170512;19:00;Retail Sales (YoY);Colombia;COP;1
USD_BakerHughesUSOilRigCount;20170512;17:00;Baker Hughes US Oil Rig Count;United States;USD;2
USD_CentralBankSpeech;20170512;16:30;Fed Harker speech;United States;USD;2
USD_MichiganConsumerSentimentIndex;20170512;14:00;Michigan Consumer Sentiment Index;United States;USD;1
USD_BusinessInventories;20170512;14:00;Business Inventories;United States;USD;1
RUB_ForeignTrade;20170512;13:00;Foreign Trade;Russia;RUB;1
MXN_IndustrialOutput;20170512;13:00;Industrial Output (MoM);Mexico;MXN;1
USD_RetailSales;20170512;12:30;Retail Sales Control Group;United States;USD;2
USD_ConsumerPriceIndex;20170512;12:30;Consumer Price Index n.s.a (MoM);United States;USD;1
PLN_M3MoneySupply;20170512;12:00;M3 Money Supply (YoY);Poland;PLN;1
INR_BankLoanGrowth;20170512;11:30;Bank Loan Growth;India;INR;1
INR_ManufacturingOutput;20170512;11:30;Manufacturing Output;India;INR;1
INR_IndustrialOutput;20170512;11:30;Industrial Output;India;INR;1
INR_CumulativeIndustrialOutput;20170512;11:30;Cumulative Industrial Output;India;INR;1
INR_FXReservesUSD;20170512;11:30;FX Reserves, USD;India;INR;1
EUR_EurG7Meeting;20170512;11:00;G7 Meeting;European Monetary Union;EUR;3
CNY_M2MoneySupply;20170512;10:10;M2 Money Supply (YoY);China;CNY;1
CNY_NewLoans;20170512;10:10;New Loans;China;CNY;1
EUR_EurIndustrialProduction;20170512;09:00;Industrial Production w.d.a. (YoY);European Monetary Union;EUR;2
HKD_GrossDomesticProduct;20170512;08:30;Gross Domestic Product (QoQ);Hong Kong SAR;HKD;1
EUR_SpaHICP;20170512;07:00;HICP (YoY);Spain;EUR;1
EUR_SloIndustrialOutput;20170512;07:00;Industrial Output (YoY);Slovakia;EUR;1
EUR_SpaConsumerPriceIndex;20170512;07:00;Consumer Price Index (MoM);Spain;EUR;1
EUR_FraNonfarmPayrolls;20170512;06:45;Nonfarm Payrolls (QoQ);France;EUR;1
EUR_GerConsumerPriceIndex;20170512;06:00;Consumer Price Index (MoM);Germany;EUR;2
EUR_GerHarmonizedIndexofConsumerPrices;20170512;06:00;Harmonized Index of Consumer Prices (YoY);Germany;EUR;2
EUR_GerGrossDomesticProduct;20170512;06:00;Gross Domestic Product (QoQ);Germany;EUR;3
INR_WPIInflation;20170512;06:00;WPI Inflation;India;INR;1
SGD_RetailSales;20170512;05:00;Retail Sales (MoM);Singapore;SGD;1
DKK_GeneralPrayerDay;20170512;00:00;General Prayer Day ;Denmark;DKK;0
