JPY_MoneySupplyM2+CD;20130512;23:50;Money Supply M2+CD (YoY);Japan;JPY;1
NZD_FoodPriceIndex;20130512;22:45;Food Price Index (MoM);New Zealand;NZD;1
NZD_REINZHousePriceIndex;20130512;22:15;REINZ House Price Index (MoM);New Zealand;NZD;1
