JPY_BoJMinutes;20090323;23:50;BoJ Minutes;Japan;JPY;2
USD_CentralBankSpeech;20090323;22:00;Treasury Geithner speech;United States;USD;2
USD_ExistingHomeSalesChange;20090323;14:00;Existing Home Sales Change (MoM);United States;USD;2
USD_ExistingHomeSales;20090323;14:00;Existing Home Sales (MoM);United States;USD;2
CAD_LeadingIndicators;20090323;12:30;Leading Indicators (MoM);Canada;CAD;1
EUR_EurTradeBalance;20090323;10:00;Trade Balance s.a.;European Monetary Union;EUR;1
EUR_EurConstructionOutput;20090323;10:00;Construction Output w.d.a (YoY);European Monetary Union;EUR;1
