GBP_RightmoveHousePriceIndex;20120415;23:01;Rightmove House Price Index (MoM);United Kingdom;GBP;1
NZD_FoodPriceIndex;20120415;22:45;Food Price Index (MoM);New Zealand;NZD;1
KRW_ImportPriceGrowth;20120415;21:00;Import Price Growth (YoY);South Korea;KRW;1
KRW_ExportPriceGrowth;20120415;03:00;Export Price Growth (YoY);South Korea;KRW;1
KRW_TradeBalance;20120415;03:00;Trade Balance;South Korea;KRW;1
RON_OrthodoxEasterDay;20120415;00:00;Orthodox Easter Day;Romania;RON;0
NZD_REINZHousePriceIndex;20120415;00:00;REINZ House Price Index (MoM);New Zealand;NZD;2
