JPY_CentralBankSpeech;20121013;01:00;BoJ Governor Shirakawa speech;Japan;JPY;2
CNY_Imports;20121013;01:00;Imports (YoY);China;CNY;1
CNY_Exports;20121013;01:00;Exports (YoY);China;CNY;1
CNY_TradeBalanceUSD;20121013;01:00;Trade Balance USD;China;CNY;1
CNY_M2MoneySupply;20121013;00:00;M2 Money Supply (YoY);China;CNY;1
EUR_EurIMFMeeting;20121013;00:00;IMF Meeting;European Monetary Union;EUR;2
