CAD_RetailSales;20080222;13:30;Retail Sales ex Autos (MoM);Canada;CAD;2
EUR_EurIndustrialNewOrders;20080222;10:00;Industrial New Orders (YoY);European Monetary Union;EUR;1
EUR_EurMarkitServicesPMI;20080222;09:00;Markit Services PMI;European Monetary Union;EUR;1
EUR_EurMarkitManufacturingPMI;20080222;09:00;Markit Manufacturing PMI;European Monetary Union;EUR;1
JPY_CentralBankSpeech;20080222;03:00;BoJ Governor Fukui speech;Japan;JPY;1
